request_id,study_id,provider,model,prompt_id,prompt_group,prompt_text,replicate
storytelling_2:openai:P01_baseline_exact:r0001,storytelling_2,openai,gpt-5.5,P01_baseline_exact,baseline,tell me a story please,1
storytelling_2:gemini:P01_baseline_exact:r0001,storytelling_2,gemini,gemini-3.5-flash,P01_baseline_exact,baseline,tell me a story please,1
storytelling_2:anthropic:P01_baseline_exact:r0001,storytelling_2,anthropic,claude-sonnet-4-6,P01_baseline_exact,baseline,tell me a story please,1
storytelling_2:anthropic:P03_write_variant:r0001,storytelling_2,anthropic,claude-sonnet-4-6,P03_write_variant,baseline,write me a story,1
storytelling_2:openai:P03_write_variant:r0001,storytelling_2,openai,gpt-5.5,P03_write_variant,baseline,write me a story,1
storytelling_2:gemini:P03_write_variant:r0001,storytelling_2,gemini,gemini-3.5-flash,P03_write_variant,baseline,write me a story,1
storytelling_2:openai:P04_short_variant:r0001,storytelling_2,openai,gpt-5.5,P04_short_variant,baseline,tell me a short story please,1
storytelling_2:anthropic:P04_short_variant:r0001,storytelling_2,anthropic,claude-sonnet-4-6,P04_short_variant,baseline,tell me a short story please,1
storytelling_2:gemini:P04_short_variant:r0001,storytelling_2,gemini,gemini-3.5-flash,P04_short_variant,baseline,tell me a short story please,1
storytelling_2:openai:P02_baseline_no_please:r0001,storytelling_2,openai,gpt-5.5,P02_baseline_no_please,baseline,tell me a story,1
storytelling_2:anthropic:P02_baseline_no_please:r0001,storytelling_2,anthropic,claude-sonnet-4-6,P02_baseline_no_please,baseline,tell me a story,1
storytelling_2:gemini:P02_baseline_no_please:r0001,storytelling_2,gemini,gemini-3.5-flash,P02_baseline_no_please,baseline,tell me a story,1
storytelling_2:openai:P08_suppression:r0001,storytelling_2,openai,gpt-5.5,P08_suppression,intervention_suppression,"tell me a story please, but not about lighthouses, lamps, lanterns, the sea, the ocean, ships, boats, storms, fog, islands, cliffs, or old caretakers.",1
storytelling_2:anthropic:P08_suppression:r0001,storytelling_2,anthropic,claude-sonnet-4-6,P08_suppression,intervention_suppression,"tell me a story please, but not about lighthouses, lamps, lanterns, the sea, the ocean, ships, boats, storms, fog, islands, cliffs, or old caretakers.",1
storytelling_2:gemini:P08_suppression:r0001,storytelling_2,gemini,gemini-3.5-flash,P08_suppression,intervention_suppression,"tell me a story please, but not about lighthouses, lamps, lanterns, the sea, the ocean, ships, boats, storms, fog, islands, cliffs, or old caretakers.",1
storytelling_2:gemini:P05_strange_variant:r0001,storytelling_2,gemini,gemini-3.5-flash,P05_strange_variant,mood,tell me a strange story please,1
storytelling_2:anthropic:P05_strange_variant:r0001,storytelling_2,anthropic,claude-sonnet-4-6,P05_strange_variant,mood,tell me a strange story please,1
storytelling_2:openai:P05_strange_variant:r0001,storytelling_2,openai,gpt-5.5,P05_strange_variant,mood,tell me a strange story please,1
storytelling_2:gemini:P07_random_setting_genre:r0001,storytelling_2,gemini,gemini-3.5-flash,P07_random_setting_genre,intervention_randomization,tell me a story please. First choose a random setting and genre.,1
storytelling_2:openai:P07_random_setting_genre:r0001,storytelling_2,openai,gpt-5.5,P07_random_setting_genre,intervention_randomization,tell me a story please. First choose a random setting and genre.,1
storytelling_2:anthropic:P07_random_setting_genre:r0001,storytelling_2,anthropic,claude-sonnet-4-6,P07_random_setting_genre,intervention_randomization,tell me a story please. First choose a random setting and genre.,1
storytelling_2:gemini:P06_funny_variant:r0001,storytelling_2,gemini,gemini-3.5-flash,P06_funny_variant,mood,tell me a funny story please,1
storytelling_2:openai:P06_funny_variant:r0001,storytelling_2,openai,gpt-5.5,P06_funny_variant,mood,tell me a funny story please,1
storytelling_2:anthropic:P06_funny_variant:r0001,storytelling_2,anthropic,claude-sonnet-4-6,P06_funny_variant,mood,tell me a funny story please,1
storytelling_2:openai:P01_baseline_exact:r0002,storytelling_2,openai,gpt-5.5,P01_baseline_exact,baseline,tell me a story please,2
storytelling_2:anthropic:P01_baseline_exact:r0002,storytelling_2,anthropic,claude-sonnet-4-6,P01_baseline_exact,baseline,tell me a story please,2
storytelling_2:gemini:P01_baseline_exact:r0002,storytelling_2,gemini,gemini-3.5-flash,P01_baseline_exact,baseline,tell me a story please,2
storytelling_2:gemini:P04_short_variant:r0002,storytelling_2,gemini,gemini-3.5-flash,P04_short_variant,baseline,tell me a short story please,2
storytelling_2:anthropic:P04_short_variant:r0002,storytelling_2,anthropic,claude-sonnet-4-6,P04_short_variant,baseline,tell me a short story please,2
storytelling_2:openai:P04_short_variant:r0002,storytelling_2,openai,gpt-5.5,P04_short_variant,baseline,tell me a short story please,2
storytelling_2:openai:P05_strange_variant:r0002,storytelling_2,openai,gpt-5.5,P05_strange_variant,mood,tell me a strange story please,2
storytelling_2:gemini:P05_strange_variant:r0002,storytelling_2,gemini,gemini-3.5-flash,P05_strange_variant,mood,tell me a strange story please,2
storytelling_2:anthropic:P05_strange_variant:r0002,storytelling_2,anthropic,claude-sonnet-4-6,P05_strange_variant,mood,tell me a strange story please,2
storytelling_2:anthropic:P06_funny_variant:r0002,storytelling_2,anthropic,claude-sonnet-4-6,P06_funny_variant,mood,tell me a funny story please,2
storytelling_2:gemini:P06_funny_variant:r0002,storytelling_2,gemini,gemini-3.5-flash,P06_funny_variant,mood,tell me a funny story please,2
storytelling_2:openai:P06_funny_variant:r0002,storytelling_2,openai,gpt-5.5,P06_funny_variant,mood,tell me a funny story please,2
storytelling_2:openai:P08_suppression:r0002,storytelling_2,openai,gpt-5.5,P08_suppression,intervention_suppression,"tell me a story please, but not about lighthouses, lamps, lanterns, the sea, the ocean, ships, boats, storms, fog, islands, cliffs, or old caretakers.",2
