request_id,provider,prompt_id,replicate,local_cluster,is_lighthouse,word_count,output_tokens,thoughts_tokens,finish_reason,likely_truncated,too_short_unusable
anthropic|P01_baseline_please|r0001,anthropic,P01_baseline_please,1,2,True,112,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0002,anthropic,P01_baseline_please,2,2,True,112,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0003,anthropic,P01_baseline_please,3,0,True,114,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0004,anthropic,P01_baseline_please,4,1,False,113,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0005,anthropic,P01_baseline_please,5,0,False,114,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0006,anthropic,P01_baseline_please,6,2,True,110,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0007,anthropic,P01_baseline_please,7,0,True,115,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0008,anthropic,P01_baseline_please,8,0,False,111,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0009,anthropic,P01_baseline_please,9,2,True,115,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0010,anthropic,P01_baseline_please,10,0,True,113,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0011,anthropic,P01_baseline_please,11,2,True,120,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0012,anthropic,P01_baseline_please,12,2,True,113,149,,max_tokens,True,False
anthropic|P01_baseline_please|r0013,anthropic,P01_baseline_please,13,2,True,117,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0014,anthropic,P01_baseline_please,14,2,True,113,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0015,anthropic,P01_baseline_please,15,0,True,113,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0016,anthropic,P01_baseline_please,16,2,True,108,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0017,anthropic,P01_baseline_please,17,0,False,99,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0018,anthropic,P01_baseline_please,18,2,True,112,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0019,anthropic,P01_baseline_please,19,2,True,110,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0020,anthropic,P01_baseline_please,20,0,True,109,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0021,anthropic,P01_baseline_please,21,0,False,117,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0022,anthropic,P01_baseline_please,22,2,True,114,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0023,anthropic,P01_baseline_please,23,0,True,106,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0024,anthropic,P01_baseline_please,24,0,True,114,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0025,anthropic,P01_baseline_please,25,0,True,105,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0026,anthropic,P01_baseline_please,26,2,True,118,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0027,anthropic,P01_baseline_please,27,2,True,111,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0028,anthropic,P01_baseline_please,28,0,True,110,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0029,anthropic,P01_baseline_please,29,2,True,119,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0030,anthropic,P01_baseline_please,30,2,True,111,150,,max_tokens,True,False
anthropic|P01_baseline_please|r0031,anthropic,P01_baseline_please,31,2,True,118,150,,max_tokens,True,False
