request_id,provider,model,prompt_id,prompt_text,replicate,status,story_text,input_tokens,output_tokens,thoughts_tokens,finish_reason,elapsed_sec,created_utc,error
openai|P01_baseline_please|r0001,openai,gpt-5.5,P01_baseline_please,tell me a story please,1,ok,"Once, at the edge of a quiet forest, there was a little clockmaker’s shop that only opened after sunset.

No one in the village knew why.

During the day, its windows were dark and dusty, and the sign […truncated for sample]",11,150,,incomplete,6.98,2026-05-21T04:38:51+00:00,
anthropic|P01_baseline_please|r0001,anthropic,claude-sonnet-4-6,P01_baseline_please,tell me a story please,1,ok,"# The Lantern Keeper's Last Night

Old Mara had kept the lighthouse for forty-three years.

Every evening, she climbed the 127 steps — she had counted them so many times she felt them in her sleep — l […truncated for sample]",12,150,,max_tokens,9.18,2026-05-21T04:38:59+00:00,
openai|P02_baseline_plain|r0001,openai,gpt-5.5,P02_baseline_plain,tell me a story,1,ok,"Once, in a village tucked between two green hills, there was a clockmaker named Elian who built clocks that never chimed at the same time twice.

This bothered the villagers.

“A clock should be relia […truncated for sample]",10,150,,incomplete,5.39,2026-05-21T04:39:08+00:00,
anthropic|P02_baseline_plain|r0001,anthropic,claude-sonnet-4-6,P02_baseline_plain,tell me a story,1,ok,"# The Lantern Keeper

There was once an old man who lived at the edge of a forest where the path grew dark.

Every night, he lit a lantern and hung it from the branch of a twisted oak tree. Not for hi […truncated for sample]",11,150,,max_tokens,4.77,2026-05-21T04:39:14+00:00,
openai|P03_write_variant|r0001,openai,gpt-5.5,P03_write_variant,write me a story,1,ok,"The moon was missing.

Mara noticed it first because she was the town’s lamplighter, and lamplighters notice the dark the way sailors notice storms. Every evening, she climbed the iron ladders along t […truncated for sample]",10,150,,incomplete,6.04,2026-05-21T04:39:19+00:00,
anthropic|P03_write_variant|r0001,anthropic,claude-sonnet-4-6,P03_write_variant,write me a story,1,ok,"# The Last Lighthouse Keeper

The storm had been building for three days before it finally arrived.

Maren heard it coming in the way her grandmother had taught her — a low, hollow moan threading thro […truncated for sample]",11,150,,max_tokens,4.78,2026-05-21T04:39:25+00:00,
openai|P04_short_variant|r0001,openai,gpt-5.5,P04_short_variant,tell me a short story please,1,ok,"The little lighthouse at the edge of the cliffs had not shone for years.

Every night, Mara climbed the spiral stairs anyway, carrying a single candle. “Just in case,” she would say to the wind.

The […truncated for sample]",12,147,,completed,6.13,2026-05-21T04:39:30+00:00,
anthropic|P04_short_variant|r0001,anthropic,claude-sonnet-4-6,P04_short_variant,tell me a short story please,1,ok,"# The Last Light

Every evening, old Marco climbed the hill to light the lantern.

He had done it for forty years. Rain, snow, broken knees — it didn't matter. The lantern sat at the top of the hill a […truncated for sample]",13,150,,max_tokens,4.93,2026-05-21T04:39:36+00:00,
openai|P05_strange_variant|r0001,openai,gpt-5.5,P05_strange_variant,tell me a strange story please,1,ok,"At the edge of a town that did not appear on maps, there was a laundromat that only opened during thunderstorms.

Its sign flickered blue-white in the rain:

**SPIN & SIN**
**Open When Necessary**

No […truncated for sample]",12,150,,incomplete,6.03,2026-05-21T04:39:42+00:00,
anthropic|P05_strange_variant|r0001,anthropic,claude-sonnet-4-6,P05_strange_variant,tell me a strange story please,1,ok,"# The Man Who Collected Tuesdays

Harold Fitch woke up one morning to find an extra Tuesday sitting in his kitchen.

It was just *there*, folded up on the counter like a newspaper, next to his coffee […truncated for sample]",13,150,,max_tokens,4.76,2026-05-21T04:39:48+00:00,
openai|P06_funny_variant|r0001,openai,gpt-5.5,P06_funny_variant,tell me a funny story please,1,ok,"Sure — here’s a silly one:

A man walked into a pet shop and said, “I’d like to buy a parrot, but it has to be clever.”

The shopkeeper pointed to a bright green parrot and said, “This one is incredib […truncated for sample]",12,150,,incomplete,5.09,2026-05-21T04:39:53+00:00,
anthropic|P06_funny_variant|r0001,anthropic,claude-sonnet-4-6,P06_funny_variant,tell me a funny story please,1,ok,"# The Case of the Missing Sandwich

Dave was absolutely certain his sandwich had been stolen.

He had made it himself that morning - turkey, swiss cheese, lettuce, the good mustard. He wrapped it care […truncated for sample]",13,150,,max_tokens,6.26,2026-05-21T04:39:58+00:00,
openai|P07_random_setting|r0001,openai,gpt-5.5,P07_random_setting,tell me a story please. First choose a random setting and genre.,1,ok,"**Random setting:** A floating market above a gas giant  
**Random genre:** Cozy mystery

---

The first rule of the Cloud-Bazaar was: never drop anything.

The second rule was: if you did drop someth […truncated for sample]",20,150,,incomplete,6.28,2026-05-21T04:40:05+00:00,
anthropic|P07_random_setting|r0001,anthropic,claude-sonnet-4-6,P07_random_setting,tell me a story please. First choose a random setting and genre.,1,ok,"# The Lighthouse at the Edge of Knowing

**Setting:** A remote lighthouse on a fog-covered island, 1920s
**Genre:** Psychological mystery

---

The supply boat came every three weeks, and it was alway […truncated for sample]",21,150,,max_tokens,5.17,2026-05-21T04:40:11+00:00,
openai|P08_suppression|r0001,openai,gpt-5.5,P08_suppression,"tell me a story please, but not about lighthouses, lamps, the sea, ships, storms, fog, islands, cliffs, or old caretakers.",1,ok,"In the town of Brindlewick, every door had a different sound.

The baker’s door chimed like a spoon tapping a teacup. The",39,150,,incomplete,4.93,2026-05-21T04:40:17+00:00,
anthropic|P08_suppression|r0001,anthropic,claude-sonnet-4-6,P08_suppression,"tell me a story please, but not about lighthouses, lamps, the sea, ships, storms, fog, islands, cliffs, or old caretakers.",1,ok,"Here's a story for you:

---

**The Cartographer's Mistake**

Elena had been mapping the same forest for eleven years when she finally found the road that wasn't supposed to be there.

It appeared on […truncated for sample]",42,150,,max_tokens,5.02,2026-05-21T04:40:22+00:00,
