cluster_uid,provider,prompt_id,size,cell_n,share,sig_semantic,sig_phrase,sig_setting,lighthouse_share,setting_words,fingerprint_phrases
1,anthropic,P01_baseline_please,48,100,0.48,0.74,0.08,0.77,0.646,lantern(1.0) | keeper(0.65) | village(0.65) | girl(0.62) | forest(0.52),girl named | lantern keeper | named mara | edge forest | old man | girl named mara
2,anthropic,P01_baseline_please,3,100,0.03,0.91,0.66,1.0,0.0,forest(1.0) | fox(1.0) | lantern(1.0) | moon(0.33) | grandmother(0.33),trees grew tall | trees grew | lived fox | lantern lost fox | lived fox named | lost fox
3,anthropic,P01_baseline_please,49,100,0.49,0.82,0.12,0.97,1.0,keeper(1.0) | lighthouse(0.98) | lantern(0.92) | sea(0.69) | lamp(0.67),lantern keeper | keeper night old | lantern keeper night | night old | keeper night | old maren
4,anthropic,P02_baseline_plain,100,100,1.0,0.7,0.05,0.72,0.71,lantern(0.96) | keeper(0.71) | lighthouse(0.5) | forest(0.3) | girl(0.29),old man | lantern keeper | keeper night | night old | lantern keeper night | keeper night old
5,anthropic,P03_write_variant,15,100,0.15,0.69,0.13,0.18,0.0,lamp(0.27) | shop(0.13) | grandmother(0.13) | letter(0.13) | music(0.07),meridian street | mercer street | street box | street bulb | light mercer | light mercer street
6,anthropic,P03_write_variant,34,100,0.34,0.79,0.09,0.6,0.882,lighthouse(0.88) | grandfather(0.62) | sea(0.29) | keeper(0.26) | ocean(0.24),lighthouse storm | storm building | storm building days | building days | days maya | lighthouse storm building
7,anthropic,P03_write_variant,5,100,0.05,0.71,0.42,0.6,1.0,lighthouse(1.0) | town(0.4) | grandmother(0.4) | tower(0.2) | key(0.2),lighthouse dark | years mara | lighthouse dark thirty | thirty years | dark thirty | dark thirty years
8,anthropic,P03_write_variant,38,100,0.38,0.74,0.08,0.79,1.0,lighthouse(1.0) | keeper(0.87) | sea(0.5) | tower(0.18) | lantern(0.16),lighthouse keeper | storm building days | building days | storm building | keeper storm | lighthouse keeper storm
9,anthropic,P04_short_variant,99,100,0.99,0.72,0.06,0.38,0.535,lighthouse(0.54) | lamp(0.36) | girl(0.24) | lantern(0.17) | harbor(0.1),evening old | light evening old | light evening | watch sunset | old marcus | evening old marcus
10,anthropic,P05_strange_variant,75,100,0.75,0.75,0.07,0.1,0.0,key(0.16) | book(0.08) | library(0.05) | clock(0.05) | city(0.04),man collected | gerald fitch | man collected tuesdays | collected tuesdays | man collected mondays | collected mondays
11,anthropic,P05_strange_variant,18,100,0.18,0.73,0.14,0.3,0.0,library(0.5) | book(0.33) | clock(0.06) | clockmaker(0.06) | town(0.06),collected silences | man collected silences | man collected | silences edgar | collected silences edgar | glass jars
12,anthropic,P06_funny_variant,6,100,0.06,0.71,0.19,0.17,0.0,shop(0.33) | mirror(0.17),say word | pet shop | world confident penguin | silly world | penguin walks | world confident
13,anthropic,P06_funny_variant,7,100,0.07,0.76,0.27,0.14,0.0,town(0.14) | bell(0.14) | shop(0.14),turn right | turn left | turned left | said turn | said turn right | story gps
14,anthropic,P06_funny_variant,9,100,0.09,0.79,0.21,0.04,0.0,map(0.11),great pancake | great pancake disaster | pancake disaster | tuesday morning | make pancakes | disaster tuesday
15,anthropic,P06_funny_variant,4,100,0.04,0.83,0.44,0.33,0.0,bear(1.0),bear runs | runs faster | man goes | goes camping | man goes camping | camping time
16,anthropic,P06_funny_variant,56,100,0.56,0.77,0.09,0.11,0.0,seed(0.12) | music(0.11) | candle(0.11) | map(0.05) | baker(0.05),great squirrel | absolutely convinced | great squirrel heist | squirrel heist | bird feeder | squirrel proof
17,anthropic,P06_funny_variant,6,100,0.06,0.86,0.38,0.06,0.0,music(0.17),office chair | great office | great office chair | office chair catastrophe | chair catastrophe | guy named dave
18,anthropic,P06_funny_variant,6,100,0.06,0.78,0.39,0.11,0.0,map(0.17) | letter(0.17),case missing | strongly worded | sandwich dave absolutely | sandwich dave | missing sandwich dave | dave absolutely
19,anthropic,P07_random_setting,60,99,0.606,0.77,0.12,0.91,0.0,clockmaker(1.0) | city(0.95) | shop(0.77) | clock(0.73) | harbor(0.63),setting fog | port city | genre mystery | daughter setting | clockmaker daughter | clockmaker daughter setting
20,anthropic,P07_random_setting,5,99,0.051,0.79,0.65,1.0,0.0,map(1.0) | city(1.0) | cartographer(1.0) | harbor(0.6) | shop(0.4),fog came | setting fog | port city | setting fog covered | map setting fog | map setting
21,anthropic,P07_random_setting,21,99,0.212,0.73,0.15,0.81,1.0,lighthouse(1.0) | keeper(1.0) | island(0.43) | sea(0.29) | lantern(0.14),setting genre | genre mystery | setting lighthouse | 1920s genre | fog covered | setting genre selection
22,anthropic,P07_random_setting,6,99,0.061,0.86,0.4,0.89,0.0,clockmaker(1.0) | river(0.83) | clock(0.83) | shop(0.5) | town(0.33),mystery fog | clockmaker daughter | genre gothic mystery | gothic mystery | gothic mystery fog | prague genre gothic
23,anthropic,P08_suppression,3,100,0.03,0.68,0.17,0.11,0.0,book(0.33),years wasn | story inventory maya | story inventory | maya putting | inventory maya putting | inventory maya
24,anthropic,P08_suppression,4,100,0.04,0.68,0.62,0.17,0.0,library(0.25) | book(0.25),collected tuesdays | started writing | woman collected | woman collected tuesdays | story woman | story woman collected
25,anthropic,P08_suppression,11,100,0.11,0.74,0.21,0.7,0.0,cartographer(1.0) | map(0.64) | forest(0.45) | city(0.36) | town(0.18),maya mapping | story cartographer | cartographer mistake | mistake maya | story cartographer mistake | cartographer mistake maya
26,anthropic,P08_suppression,7,100,0.07,0.72,0.35,0.19,0.0,key(0.29) | shop(0.14) | music(0.14) | mountain(0.14),story wrong | marcus grabbed | thought jacket hook | wrong jacket | thought jacket | piece paper
27,anthropic,P08_suppression,33,100,0.33,0.72,0.13,0.86,0.0,cartographer(1.0) | map(0.88) | city(0.7) | river(0.33) | town(0.27),story cartographer | story cartographer mistake | cartographer mistake | drawing maps | mistake elena | cartographer mistake elena
28,anthropic,P08_suppression,10,100,0.1,0.79,0.24,0.03,0.0,shop(0.1),story wrong | marcus making | wrong sandwich | wrong sandwich marcus | story wrong sandwich | sandwich marcus
29,anthropic,P08_suppression,4,100,0.04,0.76,0.5,0.25,0.0,library(0.25) | book(0.25) | city(0.25),story wrong | maya grabbed | hook door | wrong coat maya | wrong coat | story wrong coat
30,openai,P01_baseline_please,6,100,0.06,0.69,0.36,0.83,0.0,girl(1.0) | key(0.83) | village(0.67) | forest(0.5) | shop(0.5),lost things | girl named | lived girl named | lived girl | named mira | girl named mira
31,openai,P01_baseline_please,7,100,0.07,0.73,0.32,0.95,0.0,forest(1.0) | girl(1.0) | bell(0.86) | village(0.86) | river(0.71),lived girl | lived girl named | girl named | village tucked | named mara | girl named mara
32,openai,P01_baseline_please,65,100,0.65,0.73,0.06,0.86,0.0,clock(0.98) | clockmaker(0.94) | village(0.65) | forest(0.6) | shop(0.6),clockmaker named | lived clockmaker named | lived clockmaker | named elian | clockmaker named elian | village tucked
33,openai,P01_baseline_please,7,100,0.07,0.73,0.21,0.71,0.0,girl(0.71) | tower(0.71) | clock(0.71) | village(0.57) | town(0.43),girl named | little town | old mayor | years knew | village tucked | birds nested
34,openai,P01_baseline_please,4,100,0.04,0.72,0.37,1.0,0.25,forest(1.0) | village(1.0) | lantern(1.0) | clock(0.75) | girl(0.75),village owned lantern | village owned | forest village | owned lantern | forest village owned | lived girl named
35,openai,P02_baseline_plain,28,100,0.28,0.7,0.09,0.77,0.0,clock(0.89) | town(0.75) | clockmaker(0.68) | shop(0.5) | tower(0.5),town built | clockmaker named | named mara | clockmaker named mara | clock tower | lived clockmaker named
36,openai,P02_baseline_plain,5,100,0.05,0.69,0.27,0.8,0.0,town(1.0) | clock(0.8) | forest(0.6) | baker(0.6) | bell(0.6),town bellweather | clock tower | town built | town built edge | built edge
37,openai,P02_baseline_plain,4,100,0.04,0.72,0.29,0.83,0.0,moon(1.0) | baker(0.75) | village(0.75) | clock(0.5) | sea(0.5),mira lived | moon rose | missing hidden | hidden clouds | moon missing hidden | missing hidden clouds
38,openai,P02_baseline_plain,4,100,0.04,0.71,0.5,0.75,0.0,girl(0.75) | key(0.75) | bell(0.75) | shop(0.5) | town(0.5),lost things | named mara | mara collected | collected lost | girl named | lived girl named
39,openai,P02_baseline_plain,45,100,0.45,0.79,0.08,0.88,0.044,clockmaker(1.0) | clock(0.96) | town(0.69) | forest(0.67) | shop(0.51),clockmaker named | named elian | clockmaker named elian | lived clockmaker | lived clockmaker named | town built
40,openai,P02_baseline_plain,6,100,0.06,0.72,0.29,0.83,1.0,sea(1.0) | lighthouse(1.0) | girl(0.5) | lamp(0.5) | village(0.5),named mara | girl named | girl named mara | sea lighthouse | town built | spiral stairs
41,openai,P03_write_variant,28,100,0.28,0.72,0.11,0.88,0.964,lighthouse(0.93) | sea(0.89) | lantern(0.82) | keeper(0.64) | village(0.57),mara climbed | lantern keeper | old lighthouse | evening just | lit lantern | evening just sun
42,openai,P03_write_variant,13,100,0.13,0.74,0.22,0.46,0.308,moon(0.62) | grandmother(0.38) | sea(0.38) | lighthouse(0.31) | baker(0.23),time mara | time mara heard | mara heard | mara heard moon | heard moon | mara froze
